Designator,Footprint,Quantity,Value,LCSC Part #
C1,CP_Radial_D5.0mm_P2.00mm,1,100uF,
"C10, C11",0402,2,12pF,
C12,0805,1,100nF,
"C13, C2, C5, C6, C7, C8, C9",0603,7,100nF,
"C14, C15",0603,2,2.2uF,
"D1, D9",0805,2,LED,
F1,1210,1,Fuse_Small,
"J1, J2, J3, J4, J5",USB_A_2.0,5,USB_A,
"J10, J7, J8",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02_Pin,
"J6, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
"R1, R7",0805,2,10k,
R10,0805,1,1k,
"R11, R6",0805,2,100k,
R2,0805,1,20k,
"R3, R4, R5",0805,3,0,
R35,0805,1,500,
R9,0805,1,680,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8",TestPoint_Pad_D2.0mm,8,TestPoint,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,GL850G,
U11,SOT-23-5_HandSoldering,1,AP2151WG,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,12MHz,
